Doctor Name,Degree(s),Affiliated Hospital Name,Affiliated Hospital Address
"Haizel, Karen Araba","M.B., Ch.B. (KNUST-SMS)",,"P. O. Box CT 5042, Cantonments"
"Hajar, Aida Feda","M.B., Ch.B (UGMS)",Biney Medical Center,"P. O. Box 546, Tema."
"Haligah, Charles Evans Kofi","M.D. (Patrice Lumumba Friendship Univ.),SP. Cert. In Derm. & Venereology (Arzekammer, Berl.)",,"P. O. Box CE 11471, Tema"
"Hall, Oforiwaa Dora",B.D.S. – U.G.D.S.,Atua Gov’t Hospital,"P. O. Box 40, Mamfe-Akuapem"
"Hammond-Donkoh, Christopher","M.B., Ch.B. (U.G.-S.M.D.)",Korle-Bu Teaching Hospital,
"Hammond, Albert",B.D.S (U.G.D.S),Narh-Bita Hospital,"P. O. Box CO 1061, Tema"
"Hammond, Bernard","M.B., Ch.B. (KNUST-SMS)",Trauma & Orthopaed. Dept. KATH,"P. O. Box 1934, Kumasi"
"Hammond, Charles Kumi","M.B., Ch.B (KNUST-SMS)",Dept. of Child Health,"P. O. Box KS 1934, Kumasi"
"Hammond, Emmanuel Nii Boye","M. B., Ch.B (KNUST-SMS),Fellow, College of Nuclear Physicians of South Africa,(College of Medicine of South Africa)",GAEC Hospital,"P. O. Box LG 80, Legon, Accra."
"Hammond, Harris","M.B., Ch.B (U.G.M.S)",Life Health Medical Clinic,
"Hammond, Michael Nii Armah","M.B., Ch.B (UG-SMD)",Keta Municipal Hospital,
"Hammond, Moore John Nii","M.B.B.S (Shenyang Med. Coll, China)",Enyiresi Govt. Hospital,
"Hansen-Garshong, Seth","M.B., Ch.B (U.G.M.S)",Dept. of Obst and Gynae,
"Hanson-Nortey, Nii Nortey","M.B., Ch.B (UGMS)",Nat’l TB Control Prog.,"P. O. Box KB 493, Korle-Bu, Accra"
"Hanson, Dorothy Efua Baawa","M.B., Ch.B (U.G.M.S)",Narh-Bita Hospital,"P. O. Box CO 1061, Tema"
"Hanson, Joseph Kwasi","M.B., Ch.B (U.G.M.S),",Hanson Mem. Med. Center,"P. O. Box AH 102, Achimota"
"Hanson, Joyce Eunice","M.B., Ch.B (U.G.M.S)",Calvary Cross Clinic,"P. O. Box 1618, Tema"
"Hanson, Kwesi Atteh","M.B., Ch.B (U.G.M.S),M.W.A.C.P (WACP),Dip. Neurology (Univ. of London)",,"P. O. Box 1618, Tema"
"Hanson, Nana Andoh Mensah","M.B., ChB. (UG-SMD)",Cape Coast Teaching Hospital,
"Hanson, Paul Kobina",B.D.S (U.G.D.S),Maamobi General Hospital,"P. O. Box 184, Accra"
"Hantes, Souheil Bahij","D.D.S (Univ. of Rennes 1, France)",Bahia Dental Clinic,"P. O. Box CT 6298, Cantonments, Accra"
"Haroon, Suleman Mahama","M.B., Ch.B (Al-Azhar Univ. of Cairo )",Al-Azhar Clinic,"P. O. Box 362, Wa"
"Harruna, Shayibu","M.D. (Univ. of Istanbul),Dip. Internal Med. (American Board of Int. Med.),Sp. Cert. Internal Med. (RCS, Canada)",,"P. O. Box 134, Sakumono Estates, Accra"
"Hasford, Emmanuel Lawrence","M.B., Ch.B (U.G.M.S)",St. Mary Theresa Hospital,"P. O. Box 37, Dodi Papase"
"Hassan, Seth Tele","M.B., Ch.B (KNUST-SMS)",Komfo Anokye Teaching Hospital,"P. O. Box KS 1934, Kumasi"
"Hawkson Amponsah, Daisy Aku","M.B., Ch.B (KNUST-SMS)",,
"Hayford, Bright","M.B., Ch.B (KNUST-SMS)",Jubilee Hospital,"P. O. Box 318, Akim Oda"
"Hayfron-Benjamin, Charles F.","M.B., Ch.B (U.G.M.S.)",Korle Bu Teaching Hospital,
"Hayfron-Benjamin, Jemima","M.D (Univ. of Hamburg),Sp. Cert. in Anaesthesia (Westafallen-lippe, Germany)",St. Francis of Oxford Clinic,"P. O. Box 11191, Adum- Kumasi"
"Hayfron, Adjoa Esuon",M.B.B.S (Wenzhou Medical College),,
"Hayfron, James Kuma Cofie","M.D (Univ. of Berlin),M.R.C.P (RCP, UK)",,"P. O. Box GP 1310, Accra"
"Hayibor, Gloria Ama",M.D. (Univ. Of Oradea),Otobia Memorial Hospital,
"Hayibor, Lisa Ama",M.D. (Univ. Of Oradea),,
"Hayibor, Ninette Yemoley","M.B., Ch.B (U.G.M.S),M.P.H. (Univ. of Ghana),M.G.C.P (GCPS)",Manna Mission Hospital,"P. O. Box 1032, Teshie, Accra"
"Heman-Ackah, Christopher A.","M.B., Ch.B (UGMS),F.R.C.S. Eng. (RCS, England)",33 Dugdale Hill,
"Hemans-Mensah, Henrietta R.","M.B., Ch.B (U.G.M.S),F.W.A.C.P (WACP)",Ridge Hospital,"P. O. Box 473, Accra"
"Henaku-Larbi, Nana Kwame","M.B., Ch.B (U.G.M.S),F.R.C.O.G. (RCOG)",Medifem Specialist Hospital,
"Henaku, Beverly","M. B., Ch.B (KNUST-SMS)",MB 1688,
"Henneh, Augustine","M.B., Ch.B (KNUST-SMS)",St. Mary’s Hospital,"P. O. Box 14, Drobo"
"Hesse, Adukwei Frederick Ian","M.B., Ch.B (UGMS)",Executive Healthcare,"P. O. Box KB 263, Korle-Bu, Accra"
"Hesse, Afua Adwo Jectey","M.B., Ch.B (U.G.M.S),F.W.A.C.S (WACS)",Accra College of Medicine,
"Heward-Mills, Dag Cyrus","M.B., Ch.B (UGMS)",Lighthouse Mission Hospital,
"Hewlett, Sandra Ama","B.D.S (UGDS),Master of Clinical Dentistry (Univ. of London)",University of Ghana,"P. O.,"
"Hewlett, Vincent Kwaku","M.B., Ch.B (UGMS),F.W.A.C.S, Radiology (WACS)",Dept of Radiology,
"Heymann, Eliza Ama Poba","M.B., Ch.B. (KNUST-SMS)",,"P. O. Box 6359, Accra - North"
"Heymann, Jimmy Ben","M.B., Ch.B (U.G.M.S)",,"P. O. Box 6359, Accra North"
"Heymann, Ninette Dzifa","M.D. (Donetsk State Med. Inst., Ukraine),D.T.C.D (Univ. of Wales)",Korle Bu Polyclinic,"P. O. Box 77, Korle-Bu, Accra."
"Hiadzi, Edem Kojo","M.B., Ch.B (U.G.M.S),M.R.C.O.G (RCOG, UK),F.R.C.O.G (RCOG, UK)",Lister Hospital & Fertility Centre,"P. O. Box CT 966, Accra"
"Hiadzi, Rushije Esi Dela","M.B., Ch.B (U.G.M.S)",No. 13,
"Hihesi, Simon Kwesi","M.D. (Medical Univ. Varna, Bulgaria)",BA Regional Hospital,"P. O. Box 27, Sunyani"
"Hill, Joseph Nii Ayitey","M.B., Ch.B (UG-SMD)",,"P. O. Box MP 1273, Mamprobi-Accra"
"Hillah, Ayayi Adoboe","M.D (Univ. of Benin, Togo),M.G.C.S (GCPS)",Korle-Bu Teaching Hospital,"P. O. Box 77, Korle-Bu, Accra"
"Himil, Emmanuel",M.B.B.S. (Shenyang Med. College),Eastern Regional Hospital,"P. O. Box 201, Koforidua"
"Hlordzi, Caroline","M.B., Ch.B. – U.G.M.S.",Police Hospital,
"Hobenu, Frederick Kwame","M.B., Ch.B (U.G.M.S),M.W.A.C.P (WACP)",Dept. of Pathology,"P. O. Box 77, Korle-Bu, Accra"
"Hodasi, Delali Kwame Foli","M.B., Ch.B (U.G.M.S)",The Trust Hospital,"P. O. Box M 149, Accra"
"Hodasi, Winfred Mensah",M.D. (Univ. of Heidelberg),Hobats Clinic,"P. O. Box 270, Achimota"
"Hodgson, Abraham Victor Obeng","M.B., Ch.B (U.G.M.S),M.P.H (UG),PhD (Univ. of Switzerland)",Research & Dev’t Division,"P. O. Box MB 190,Accra"
"Hoedoafia, Lawrence","M.B., Ch.B (U.C.C-S.M.S)",Tema General Hospital,
"Hoffman, Justice Adotey","M.D. (Vinitsa Medical Inst., Ukraine),",Adentan Municipal Health Directorate,"P. O. Box AF,"
"Hoggar, Stephen Kudjo","M.B., Ch.B (U.G.M.S)",Hoggar Clinic,"P. O. Box AK 41, Akatsi"
"Holdbrook-Smith, Henry Andrew","M.B., Ch.B (U.G.M.S),F.R.C.S (RCS, Edin)",Dept. of Surgery,"P. O. Box 77, Korle-Bu, Accra"
"Holdbrook, Alexander","M.D. (Krasnodar Med. Inst., USSR)",Abura Clinic,"P. O. Box 920, Cape Coast"
"Hometowu, Lucy Abra","M.B., Ch.B (Univ., of Ireland),M.R.C.O.G (RCOG, London)",Margaret Marquart Catholic Hospital,"P. O. Box 97, Kpando."
"Honu, Lawrencia Ami","M. B., Ch.B (UG-SMD)",Salvation Clinic,
"Hormeku, Afeke Korsi","M.B., Ch.B (UCC-SMS)",Cape Coast Teaching Hospital,"P. O. Box 1363, Cape Coast"
"Hounkpatin, Hubert Dosa Korbla",D.B.S. (U.G.M.S.),Ada East District Hospital,"P. O. Box 18, Ada-Foah."
"Houphouet, Ekua Essumanma","M.B., Ch.B (U.G.M.S),M.P.H. (Univ. of Ghana)",University Hospital,"P. O. Box LG 79, Legon, Accra"
"Howard, Beryl","M.B., Ch.B (KNUST-SMS)",,
"Hoyte-Williams, Frances-M.","M.B., Ch.B (KNUST-SMS)",Dept. of Oncology,"P. O. Box 1934, Kumasi"
"Hoyte-Williams, Paa Ekow","M. B., Ch.B (KNUST-SMS),M.G.C.S. (GCPS)",Dept. of Surgery,"P. O. Box KS 1934, Kumasi"
"Hudu, Abdul Aziz","M.B., Ch.B (UGMS)",Karaga District Hospital,"P. O. Box 401, Weija, Accra"
"Hundeyin, Jonathan Idara","M.B., Ch.B (UG-SMD)",Lister Hospital And Fertility Center,
"Hunlede, Ata-Ayite Sena","M.D. (Univ of Lome, Togo)",Tamale Teaching Hospital,"P. O. Box TL 16, Tamale"
"Hussein, Kamarudeen Korku","M.D. (Marmara Univ., Instanbul, Turkey),M.I.H. (Univ. Of Copenhagen)",Manhyia District Hospital,"P. O. Box 1908, Kumasi"
"Hussein, Naizer",M.B.B.S (Shenyang Med. College),Buipe Polyclinic,"P. O. Box 45, Buipe"
"Hussey, Romeo","M.B., Ch.B (KNUST-SMS),M.G.C.S. (G.C.P.S.)",Holy Family Hospital,
"Husunukpe, William Yao","M.B., Ch.B (U.G.M.S),MSc. Occupational Med. (Univ. of London)",Hilltop Clinic,"P. O. Box 13, Nsuta-Wassaw"
"Hylton-Dei, Alfred Solomon",M.D. (Lvov State Medical Instutute),Saviour Community Clinic. P,
"Ibine, Bolade Adebimpe Rebecca","M.B, ChB (U.G.M.S.)",Korle Bu Teaching Hospital,
Ibrahim Mohammad,M.B.S.S. (University of Sindh),Ahmadiya Muslim Mission Hospital,
"Ibrahim, Abdul-Basit Wunnam","M.B., Ch.B. (KNUST-SMS)",,
"Ibrahim, Abubakari","M.B., Ch.B (U.G.M.S),F.R.C.S (RCS, Ireland),F.R.C.S (RCPS, Glasgow)",Tamale Teaching Hospital,"P. O. Box TL 16, Tamale"
"Ibrahim, Mohammed Bin","M.B., Ch.B (U.G.M.S),M.P.H (UG)",Ahmadiyya Muslim Mission,"P. O. Box 263, Kumasi"
"Ibrahim, Mohammed Mohammed","M.B., Ch.B. ( UDS-SMHS),Ph.D in Path. & Forensic Med. (Dalian Med. Univ.)",Tamale Teaching Hospital,"P. O. Box 16, Tamale"
"Ibrahim, Muslim Donkor","M.B., Ch.B (U.G.M.S),MSc. Int. Pub. Health (U. Liverpool)",Nadowli District Hospital,"P. O. Box 3, Nadowi"
"Ibrahim, Shamaila","M.B.B.B (Bahauddin Zakariya),Doctor of medicine in Obs/Gyn (Open University),MSc. in Obs/Gyn (Univ. of London)",Ahmadiya Muslim Mission Hospital,
"Iddrisu, Abdul-Rahid Timtoni","M.B., Ch.B. ( UDS-SMHS)",Gushegu,"P. O. Box GU 3,Gushegu"
"Iddrisu, Safia","M. B., Ch.B. (UDS-SMHS)",Tamale Teaching Hospital,
"Iddrisu, Thamiira","M.B., Ch.B (KNUST-SMS)",UPS Clinic,"P. O. Box LG 149, Legon, Accra"
"Idun-Mensah, Patricia Sandra","M.B., Ch.B. (KNUST-SMS),",Health Link,
"Idun, Ewurama Andam","M. B., Ch.B (KNUST-SMS),F.G.C.P (GCPS)",37 Military Hospital,
"Ijewere, Valerie Idaye",B.D.S (U.G.D.S),PML Children’s Hospital,"P. O. Box 122, Accra"
"Imogie, Sunday Afemikhe","M.B., Ch.B (UG-SMD)",Tamale Teaching Hospital,
"Imoro, Caroline Fusheina","B.D.S (State Univ. Of Rio De Janeiro, Brazil)",,"P. O. Box KN 2868, Kaneshie - Accra"
"Imoro, Jamal","M.B., Ch.B. (KNUST-SMS)",Block J,
"Insaidoo, Arwen Julie","M.B., Ch.B. (KNUST-SMS)",KBTH,"P. O. Box 77, Korle-Bu Accra"
"Insaidoo, Genevieve","M.B., Ch.B (U.G.M.S)",Holy Family Hospital,
"Inusah, Abdul-Jalil","M.B., Ch.B (KNUST-SMS),M.W.A.C.S. (W.A.C.P)",Agogo Presby Hospital,"P. O. Box 27, Agogo"
"Ire, Alex Anbetera","M.B., Ch.B (U.G.M.S)",Tamale West Hospital,"P. O. Box 1714, Tamale"
"Iroko, Davidson","M.B., Ch.B (U.G.M.S)",Dept. of Emergency Medicine,
"Issah, Abdul-Latif","M.B., Ch.B (KNUST-SMS)",Janga Hospital,"P. O. Box 20, Walawale."
"Issah, Ahmed Basharat","M.B., Ch.B. (UDS-SMHS)",Tamale Teaching Hospital,"P. O. Box TL16, Tamale"
"Issah, Kofi","M.D. (The Schenov First Moscow Med. Inst.),Master of Int. Health (Univ. of Copenhagen, Denmark)",Ghana Health Service,
"Issah, Maltima Soale","M. B., Ch.B (KNUST-SMS),M.G.C.S. (G.C.P.S.)",Tamale Teaching Hospital,"P. O. Box TL 16, Tamale"
"Issah, Naziru",BDS (UG-SMD),,"P. O. Box CT 1363 Cape Coast,"
"Issahaku, Jahason","M.B., Ch.B. (KNUST-SMS)",Chereponi Gov’t Hospital,"P. O. Box 6, Chereponi."
"Issahaku, Sheila Tipaga","M.B., Ch.B. ( UDS-SMHS)",Tamale Teaching Hospital,"P. O. Box TL 16, Tamale"
"Issahalq, Duah Mohammed","M.D. (Dokuz Eyul Univ., Turkey)",Dept ENT,"P. O. Box KS 1934, Kumasi"
"Issaka, Adamu","M.D. (Ankara Univ.),Sp. In Thoracic Surgery (Marmara Univ., Turkey)",Tamale Teaching Hospital,"P. O. Box 16, Tamale"
"Jackson, Emmanuel Kodwo Y.","M.B., ChB (KNUST-SMS),M.G.C.P. (G.C.P.S.)",Dept. of Radiology,"P. O. Box 77, Korle-Bu, Accra"
"Jangu, Adam Alhassan","M.B., Ch.B (U.G.M.S)",Dept. of Surgery,"P. O. Box 77, Korle-Bu, Accra."
"Jatuat, Gerard Feikiman","M.B., Ch.B. – UDS-SMHS",Bole District Hospital,
"Jibreel, Saeed","M.B., Ch.B (U.G.M.S),M.G.C.P (G.C.P.S.),M.W.A.C.P. (W.A.C.P)",Bank of Ghana Clinic,
"John-Teye, Dilys","M.B., Ch.B (UGMS)",National Blood Service,
"Johnson, Grace","M.B., Ch.B (KNUST-SMS)",Komfo Anokye Teaching Hospital,"P. O. Box KS 1934, Kumasi"
"Jones-Techie, Cajetan","M.D. (People’s Friendship Univ., Russia Fed.),Dip. Mental Health (WACP)",Thomas and Tomas Clinic,"P. O. Box 467, Sunyani, BA/R"
"Kaali, Seyram","M.B., Ch.B (KNUST-SMS)",Kintampo Health Research Centre,"P. O. Box 200, Kintampo"
"Kabir, Augustine Gaetan","M.B., Ch.B (UGMS)",Kabsad Scientific Hospital ,"P. O. Box TL 2703, Tamale"
"Kaburi, Basil Benduri","M.B., Ch.B (KNUST-SMS)",Salaga Gov’t Hospital,"P. O. Box 12, Salaga"
"Kagyah, Grace Bruwah","M.B., Ch.B (KNUST-SMS)",Easten Regional Hospital,
"Kaitoo, Edmund Ekow","M.D. (Donestk State Med. Inst.),MSc. CHHM (Univ. of Heidelberg, Germany)",Municipal Health Directorate,
"Kakrabah-Quarshie, Ray Jnr","M.B., Ch.B (U..G.M.S.)",Accident Centre,"P. O. Box 77, Korle-Bu, Accra"
"Kalmoni, Yusra","M. B., Ch.B (KNUST-SMS)",37 Military Hospital,
"Kaminta, Andrew","M.B., Ch.B (U.G.M.S)",37 Military Hospital,
"Kanda, Godwin Kwaku","M.B., Ch.B (U.G.M.S)",Foresight Medical Centre,"P. O. Box HP 300, Ho"
"Kanfra, Mawuse","M.B., Ch.B (KNUST-SMS),M.G,C,S (Obst/Gynae) (GCPS)",Dept. of Obst/Gyane.,"P. O. Box KS 1934, Kumasi"
"Kang-Milung, Reginald","M.B., Ch.B (KNUST-SMS)",Aninwaa Medical Centre,"P. O. Box 11755, Adum, Kumasi."
"Kangberee, Pascal Mwin-Ba-","M.B., Ch.B (UCC-SMS)",Cape Coast Teach. Hospital,"P. O. Box CT 1363, Cape Coast"
"Kankam, Emmanuel OSei","M.B., Ch.B (KNUST-SMS)",Divine Grace Medical Centre,"P. O. Box 241, Effiduase Ashanti"
"Kankam, Maxwell","M.B., Ch.B (KNUST-SMS)",St. Patrick’s Hospital,"P. O. Box 17, Offinso"
"Kankpeyeng, Lawrence B.","M.B., ChB (UGMS)",Upper East Regional Hospital,"P. O. Box 26, Bolgatanga"
"Kanlisi, Harriet Aloribasua","M.B., Ch.B (U.G.-SMD)",,
"Kanlisi, Nicholas Songogye",M.D. (Kharkov State Medical Inst.),Engenderhealth,"P. O. Box KIA 103, Airport Accra"
"Kanzie, Perpetual","M.B., Ch.B (UG-SMD)",,"P. O. Box 627 Adum-Kumasi,"
"Karbo, Barbara Ayesha Anawana","M.B., Ch.B (KNUST-SMS)",Emergency Medicine,"P. O. Box 1934, Kumasi"
"Kareem, Wasiu","M.B., Ch.B (U.G.M.S)",Tema General Hospital,
"Karikari, Appau Bernice","M.B., Ch.B (UCC-SMS)",,"P. O. Box 1655, Sunyani"
"Karikari, Beryl Beatrice",M.D. (Donestk Nat’l Med. Univ.),Prampram Health Centre,"P. O. Box 37, Prampram"
"Karikari, Kwaku Anin B. A.","M.D.. (Univ. of Zagreb, Croatia),M.P.H. (U.G.)",Regional Health Directorate,
"Karikari, Patrick Eric","D.D.S (Inst. of Med. & Pharm., Bucharest),F.G.C.S (GCPS)",Dental Dept,"P. O. Box 1934, Kumasi"
"Karikari, Philip Kwadwo Fobi","M.B., Ch.B (KNUST-SMS)",S.D.A.,"P. O. Box 727, Sunyani"
"Kassimova-Cooper, Iparkhan",M.D. (Almaty State Med. Inst.),Tema Polyclinic,
"Kassum, Patricia","M.B., Ch.B (SMS-KNUST)",Dept. of Medicine,"P. O. Box KS 1934, Kumasi"
"Kasu, Emmanuel Senyo","M.B., Ch.B (U.G.M.S),M.P.H (UG)",Volta Regional Hospital,"P. O. Box MA 374, Ho"
"Kasule, Iddrisu Yakubu","M.B., Ch.B. ( UDS-SMHS)",Tamale Teaching Hospital,"P. O. Box TL 16, Tamale"
"Kasule, Ziblim",M.D. (Donetsk National Medical University),Presbyterian Hospital,
"Katali, Hamza Mahamadu","M.D. (Hacettepe Med. Sch.),M.R.C.O&G (RCOG)",Wye Valley NHS Trust County Hospital,
"Keatley, Rosemary Agyaako","M.B., Ch.B (Univ. of Cambridge),Board Certification (American Board of Obs./Gyn.)",Medlab Ghana Ltd,
"Kekessie, Kafui Kossi","M.B., Ch.B (U.G.M.S)",Volta Regional Hospital,
"Keketsyor, Martin Yao","M.B., Ch.B (KNUST-SMS)",Dept. of Obs/Gyn,"P. O. Box KS 1934, Kumasi"
"Kelugu, Neville Kaba",M.B. Ch.B (U.C.C.-S.M.S),C/O Lydia Atingane,
"Kemabia, Jacques Rigobert T.","M.B., Ch.B (KNUST-SMS),Dip. in Ophthalmology (WACS),MSc. Comm. Eye Health (Univ. of London)",Agogo Presby Hospital,"P. O. Box 27, Agogo"
"Kemetse, Andrew Eyram","M.B., Ch.B (KNUST-SMS)",St. Dominic Hospital,
"Kemetse, Mawusi Ama Bobobee","M. B., Ch.B (KNUST-SMS)",Franklyn Medical Centre,"P. O. Box 5729, Cantonments-Accra"
"Kemevor-Asima, Dorothy Ama","M.B.B.S (Bayero Univ, Nigeria)",Dept. of Obst./Gynae,
"Ken-Amoah, Sebastian","M.D. (Vinnitsa State Med. Univ.),PhD. In Medical Sciences (Volgorod State Med. Univ.),Sp. Obs/Gynae (Volgograd State Med. Univ., Russia)",Effia Nkwanta Regional Hospital,"P. O. Box 229, Sekondi-"
"Kenu, Ernest","M. B., Ch.B (KNUST-SMS),M.P.H (UG),M.G.C.P (GCPS)",University of Ghana,
"Kese, Kwaku Yeboah","M.B., ChB (KNUST-SMS),D.G.O (Univ. Of Dublin),M.P.H (R.Trop. Inst., Holland)",Royal Medical Agnecy Clinic,"P. O. Box 223, KNUST, Kumasi"
"Kessie, Gladstone Kwame","M.D. (Volgograd State Med. Inst.),Master of Int. Health (Univ. of Copenhagen, Denmark)",Mount Olives Hospital,"P. O. Box M 81, Techiman"
"Keteku, Joseph Asomaning","M.D. (Volgograd State Med. Inst., Russia Fed.),Sp. Cert. in Anaesthesia (North Rhine Med. Assc.)",Lister Hospital & Fertility Centre,"P. O. Box CT 966, Accra"
"Keteku, Susan Naa Owudey","M.B., Ch.B (UG-SMD)",Korle Bu Polyclinic P,
"Ketemepi, Gabriel Doe Kwami",B.D.S (U.G.D.S),Korle Bu Teachin Hospital,"P. O. Box 77, Korle-Bu, Accra"
"Ketiah Sarpong, Kwabena Sefah","M. B., Ch.B (KNUST-SMS)",,"P. O. Box 3538, Kumasi"
"Khalid, Jameela Afriyie","M.B., Ch.B. (KNUST-SMS)",Effiah Nkwanta Regional Hospital,"P. O. Box 229, Sekondi"
"Khalid, Saeed Baba","M.B., Ch.B. (UDS-SMHS)",St. John of God Hospital,"P. O. Box 24, Duayaw-Nkwanta"
"Khalifa, Abubakar Abdallah Banda","M.B., Ch.B (U.G.M.S)",37 Military Hospital,
"Khan, Mohammad Nasrullah","M.B.B.S. (Univ. of Peshawar, Pakistan),Dip. in Ophthal. Med. & Surg. (Univ. of Punjab,,Pakistan)",Sanford World Clinic,"P. O. Box 295, Mankessim"
"Kibolibi, Adams Baba","M.B., Ch.B (U.G.M.S)",Trauma and Specialist Hospital ,"P. O. Box 326, Winneba"
"Kilba, Marie-Charlyne Fatima","M.B., ChB (U.G.M.S),M.G.C.P (GCPS)",Dept. of Child Health,"P. O. Box 77, Korle-Bu, Accra"
"King-Mensah, Peter",M.D. (Lugansk State Med. Univ),Ridge Hospital,"P. O. Box 473, Accra"
"King-Mensah, Priscilla Oluwatobi",M.D. (Lugansk State Med. Univ),La General Hospital,"P. O. Box 749, Teshie-Nungua Estate"
"Kisser, Richard","M.B., Ch.B (U.G.M.S),F.W.A.C.S (WACP)",The Trust Hospital,
"Kissi, Akua Asantewaa",B.D.S. (UG-SMD),C/O Mrs. Mr. Martin A. Kissi,"P. O. Box MD 420, Accra"
"Kissi, Emmanuel Abu","M.B., Ch.B (U.G.M.S),F.R.C.S (RCS, UK),F.W.A.C.S (WACS),F.G.C.P.S (GCPS)",Deseret Hospital,"P. O. Box 12654, Accra-North"
"Kissi, Solomon Adofo Y.","M.D. (Rostov-On-Don State Med. Inst., Russia Fed.)",Holy Dove Hospital,"P. O. Box 11834, Accra-North"
"Kitcher, Emmanuel Dornu","M.B., Ch.B (U.G.M.S),F.R.C.S (RCS, Edinburg),F.W.A.C.S (WACS)",ENT Unit,"P. O. Box KB 77, Korle-Bu, Accra"
"Kitcher, Emmanuel Dornu","M.B., Ch.B (U.G.M.S)",Dept. of Internal Medicine,
"Kitcher, Esther Naa Kwarley","M.B., Ch.B (U.G.M.S),MSc. Clinical Dermatology (Univ. of London)",Bank of Ghana Clinic,"P. O. Box 2674, Accra."
"Klah, William Selormey","M.B., Ch.B (UG-SMD)",,"P. O. Box DS 2186 Dansoman-Accra,"
"Klinogo, Thomas Kojo","M.B., Ch.B. (U.G.M.S.)",Enyiresi Government Hospital,"P. O. Box 45, Anyinam, E/R."
"Klobodu, Delali","M.B., Ch.B. (KNUST-SMS)",37 Military Hospital,
"Klu, Dziedzorm Kwesi",B.D.S. (U.G.D.S),C/O P,"P. O. Box 404, Hohoe"
"Klufio, George Oko","M.B., Ch.B (U.G.M.S),F.R.C.S (RCS, Eng)",Dept. of Surgery,
"Klufio, Kenneth Adjetey","M.B., Ch.B (U.G.M.S)",Dept. of Surgery,"P. O. Box 164, Korle-Bu, Accra"
"Klutse, Joy Godfried",M.D (Volgograd Medical Institute),Ussher Polyclinic,"P. O. Box GP 996, Accra"
"Kobla, Gershon Anthony","M.B., Ch.B (Univ. of Sierra Leone)",Mercy Women’s Catholic Hospital,
"Kodi, Joshua Sanka","M.B., Ch.B. (U.G.M.S)",37 Military Hospital,
"Kodji, Lydia","M.B., Ch.B (U.G.M.S)",Dept. of Anaesthesia,
"Kodjo-Wayo, Emmanuel A.","Arzliche Prufung (Univ. Marburg AN Lahn, Germany),M.D (Univ. of Marburg AN Lahn, Germany),Annerkennung ALs Internist (State Med. Bd.,Wuttemburg),Aviation Med. (Aviation Med. Of Airforce",Prilway Specialist Clinic,"P. O. Box AN 15138, Accra"
"Kodjo, Abalo","M.D. (University of Benin),Sp. Cert. in Ophthalmology (Univ. of Ille, France)",Emmanuel Eye Centre,"P. O. Box GP 8967, Accra"
"Kodjoe Pinto, Phidelia Ladje",M.D. (Donetsk Nat. Med. Univ.),Akatsi District Hospital,"P. O. Box 83, Akatsi"
"Kodjoe, Elsie","M.B., Ch.B (U.G.M.S)",The Trust Hospital,
"Kodua, Gyasi","M.B., Ch.B. (UCC-SMS)",Ridge Hospital,
"Koduah, David Amankwah","M.B., Ch.B (UG-SMD)",St. Mary Theresa Hospital,
"Koduah, David Yaw","M.B., Ch.B. (U.G.M.S.)",St. Margaret’s Hospital,
"Koduah, Doris Afreh","M.B., Ch.B (KNUST-SMS)",,"P. O. Box KB 369, Korle Bu"
"Koffie, Desmond Ezra","M.B., Ch.B. (KNUST-SMS)",Cape Coast Teaching Hospital,"P. O. Box 1363, Cape Coast"
"Kofi, Ida Mavis Mateko","M.B., Ch.B. – U.G.M.S.",KBTH,"P. O. Box 77, Korle-Bu, Accra"
"Kofie, Victoria","M.B., Ch.B. (KNUST-SMS)",Dept. of Child Health,"P. O. Box KS 1934, Kumasi"
"Kokofu, Nancy Oforiwaa","M.B., Ch.B. (KNUST-SMS)",,"P. O. Box 1045 Adum-Kumasi,"
"Kokor, Charles-Francis","M.B., Ch.B (KNUST-SMS)",Police Hospital,
"Kokor, David","M.B., Ch.B (KNUST-SMS),M.G.C.S (GCPS)",Dept. of Traum & Orthopaed,"P. O. Box 1934, Kumasi"
"Kokuma, Selase","M. B., Ch.B (KNUST-SMS)",,"P. O. Box KS 213, Kumasi"
"Kokuro, Collins","M.B., Ch.B (KNUST-SMS),M.W.A.C.P (WACP),Dip. In Project Design & Mgt (LSTM),F.W.A.C.P (WACP)",Dept. of Medicine,"P. O. Box KS 15505, Kumasi"
"Kokuro, Rosemond","M.B., Ch.B (KNUST-SMS)",Komfo Anokye Teaching Hospital,"P. O. Box KS 1934, Kumasi"
"Kolbila, Edward Manneya","M.B., Ch.B. (UDS-SMHS)",Wa West District Hosp,"P. O. Box 8, Wa Upper West Region"
"Kolbilla, David Zawumya","M.D. (Kharkov State Med. Inst.),F.W.A.C.S ( WACS)",Tamale Teaching Hospital,"P. O. Box TL 16, Tamale"
"Kolee, Benedict Bongolie","M.B., Ch.B (U.G.M.S)",Korle-Bu Teaching Hospital,
"Komeh, Hannah","M.B., Ch.B. (KNUST-SMS)",Dept. of Child Health,"P. O. Box KS 1934, Kumasi."
"Konadu, Akua Boakyewaa","B.D.S (U.G.D.S),M.G.C.S (GCPS)",UGDS/KBTH,"P. O. Box 21195, Korle-Bu, Accra"
"Konadu, Josephyne Bertha","M.B., Ch.B (UGMS)",University Hospital,
